Name,patent_pattern,rd_pattern,product_pattern,trial_pattern,demo_pattern,manufacturing_pattern,venture_pattern,investment_pattern,university_pattern,partnership_pattern,greenness_pattern,customization_pattern,awards_pattern,membership_pattern,customer_pattern
Kao,0,0,0,1,2,0,0,2,0,1,0,0,0,0,0
SOL-ELECTRICA,0,4,1,0,0,2,0,1,0,0,2,3,0,0,3
Johnson & Johnson Consumer Companies,4,40,40,7,10,20,3,15,9,81,16,19,12,17,34
NCC Nano,2,7,5,1,1,25,0,1,1,2,1,9,0,0,11
EMC,0,4,3,7,6,7,0,9,1,13,4,1,9,11,4
NovaSolix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZIH Corp,3,6,57,10,15,32,17,19,1,137,4,35,10,7,38
SPICE SOLAR,2,7,13,1,0,10,0,2,7,5,3,0,2,4,2
Turtle Beach,0,0,14,4,4,0,0,1,0,0,0,1,1,3,1
SELMAN AND ASSOCIATES,0,2,0,0,0,1,0,0,0,0,0,2,0,0,5
Adlens Beacon,0,2,1,0,0,3,0,1,1,2,0,0,0,0,2
Gemex Systems,0,0,4,0,0,11,0,0,0,0,0,2,2,1,2
Lockheed Martin,1,47,14,16,16,81,8,22,31,91,36,46,25,13,45
Life Technologies,1,72,26,9,10,25,1,6,0,13,7,12,1,1,7
Algenol Biotech,0,10,0,2,2,19,0,1,0,2,11,1,1,0,0
Bemis Company,0,5,10,6,3,10,2,11,1,15,12,12,4,2,22
Amtech Systems,2,3,2,0,0,20,3,0,0,5,0,2,0,0,2
SII Semiconductor,0,10,5,3,3,13,3,11,0,1,4,2,1,5,5
Floadia,1,4,1,2,2,24,1,0,2,2,0,2,4,0,2
Quantum Devices,1,1,3,0,0,10,0,0,0,3,0,3,0,0,2
AltaRock Energy,0,3,0,0,0,2,0,0,4,3,0,0,0,0,0
Baker Hughes,0,12,7,5,5,43,5,14,0,34,1,10,0,0,9
3M Innovative Properties Company,15,22,55,15,11,167,2,6,0,52,12,35,1,5,52
Microchips Biotech,0,5,1,1,1,0,0,1,0,12,0,0,1,0,0
Gas Technology Institute,1,106,10,65,54,43,9,9,1,23,27,11,1,35,21
OmniVision Technologies,0,2,4,2,0,7,0,0,0,1,0,3,0,0,8
Ethox Chemicals,0,1,1,0,0,2,0,1,0,0,0,4,0,0,2
Phillips 66 Company,0,4,11,2,3,16,1,3,0,6,1,3,0,0,5
Kobe Steel,0,18,33,11,7,131,2,9,0,38,9,18,1,5,18
Hitachi,0,2,2,3,4,0,0,2,0,1,3,0,0,2,0
Narsys,2,0,5,1,1,10,0,0,0,4,0,0,0,0,1
EPCOS AG,0,6,39,23,18,43,4,2,0,72,7,20,29,9,87
Pansonic,0,0,15,0,3,4,0,1,0,1,2,0,0,1,2
Symantec,7,107,36,29,38,70,10,19,32,93,8,43,19,13,55
BASF,1,13,5,3,3,14,1,6,0,7,15,8,0,0,9
SYNTHOMER USA,0,16,4,4,5,39,8,12,0,23,13,30,3,6,31
Oki Data,0,4,19,0,2,24,2,12,0,25,5,28,1,14,26
Sumitomo Electric Device Innovations,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
Perkinelmer Holdings,9,92,21,25,24,11,0,8,0,19,3,25,6,0,17
Element One,1,4,3,5,6,9,0,3,1,1,0,4,7,0,1
Nanoridge Materials,0,3,1,1,0,12,1,0,10,3,0,0,1,1,0
Materia,4,28,5,5,3,49,5,6,9,20,5,14,9,1,13
Delphi Technologies,0,1,1,1,2,2,0,2,0,7,3,5,0,0,5
HM3 Energy,1,6,2,14,21,36,0,7,2,2,16,1,14,0,1
iNanoBio,0,1,0,2,2,0,3,0,1,0,0,0,3,0,0
Tessera,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
IntriEnergy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skidmore,0,10,5,6,11,4,0,5,65,1,15,1,17,12,0
Vorbeck Materials,1,5,3,2,2,6,0,0,0,1,0,0,4,0,0
All Power Labs,0,5,4,6,3,26,0,0,1,1,10,1,2,1,1
Graphene Technologies,2,1,2,0,0,4,0,0,1,2,0,0,0,0,0
Codexis,0,26,2,12,15,53,1,7,0,18,11,8,12,3,4
Mumetel,0,5,0,0,0,1,0,0,1,0,0,0,0,0,0
Soraa Laser Diode,6,8,0,2,8,13,0,7,9,1,2,0,14,2,0
Adaptive Biotechnologies Corp,1,21,0,16,14,1,0,3,13,11,0,1,1,7,0
ABB AB,0,12,19,27,14,43,4,22,2,59,12,24,4,8,25
Inaeris Technologies,0,1,0,0,1,2,0,1,0,2,5,0,0,0,0
Armageddon Energy,0,0,1,0,0,2,0,1,0,0,0,2,2,0,4
Qiagen,0,38,50,21,32,9,5,24,4,15,11,34,2,3,34
Neutronic Perpetual Innovations,2,1,4,0,0,1,0,0,0,0,0,2,0,0,4
Gtech,0,1,2,0,0,4,0,9,0,0,0,0,0,0,0
Bruin Biometrics,2,11,0,1,2,6,1,5,4,6,0,1,15,5,1
Amicus Therapeutics,1,44,12,8,4,11,2,10,25,8,2,0,5,26,1
Zephyr Energy Systems,2,1,1,0,1,3,0,1,2,1,1,1,1,0,0
Pixelligent Technologies,4,20,4,5,5,25,8,14,13,6,0,2,4,13,2
Momentive Performance Materials,0,5,15,3,1,12,0,5,0,21,10,17,0,5,19
HAMAMATSU PHOTONICS KK,0,106,33,47,37,83,4,12,16,14,10,13,17,6,13
SAE Magnetics (HK),0,7,0,0,0,9,2,0,1,0,0,0,0,0,0
ExxonMobil Chemical Patents,0,0,2,2,1,3,0,0,0,0,1,2,0,0,3
Gardner-Gibson,1,2,2,0,2,5,0,2,0,2,0,6,0,0,7
Advanced Analogic Technologies,0,0,3,1,1,0,1,1,0,2,1,0,1,0,1
Dana-Farber Cancer Institute,0,90,6,25,12,3,1,9,89,15,1,2,9,31,1
Crossbar,10,45,6,16,25,75,6,15,30,16,4,8,18,14,11
Surebeam,0,0,1,0,0,8,0,5,0,0,0,0,0,0,0
Integrated Device Technology,1,8,20,23,23,16,17,11,4,17,4,5,4,6,10
Stora Enso Oyj,0,1,1,0,0,6,0,3,1,2,8,0,0,0,0
Honda Motor Co,0,5,17,1,3,21,0,5,1,2,9,4,7,2,8
Sola USA,0,1,7,5,6,10,0,3,0,1,9,2,1,1,1
Dentsply,0,31,20,6,9,40,20,13,15,22,4,10,21,4,10
Renmatix,0,0,0,1,0,3,0,2,0,1,2,0,3,0,0
Sensor-Kinesis,1,9,2,1,2,1,0,1,0,2,0,0,5,0,2
Ube Industries,1,56,76,23,30,136,6,41,9,30,11,12,4,8,7
BASF Plant Science,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
HOWARD INDUSTRIES,0,0,0,1,0,4,0,0,0,1,0,1,0,0,1
Evernote,0,0,1,2,1,0,0,0,0,0,0,0,1,5,1
Professional Compounding Centers of America,0,1,1,1,1,3,0,1,0,0,0,3,0,7,0
Alliance for Sustainable Energy,0,5,0,0,0,0,0,0,4,1,5,0,0,0,0
Gracenote,1,11,21,5,3,9,6,6,11,10,0,12,3,2,24
Nordic Technologies,0,3,6,1,0,4,0,0,0,10,7,2,0,1,1
Hunt Energy Enterprises,0,1,1,0,0,1,0,10,0,4,1,0,0,0,0
