organization,organization_clnd,thes_types, employees
INDIANA UNIVERSITY RESEARCH & TECHNOLOGY CORPORATION,INDIANA UNIVERSITY RESEARCH & TECHNOLOGY,Academic,  
INENTEC INC.,INENTEC,Corporate,12
INFINEUM INTERNATIONAL LIMITED,INFINEUM LIMITED,Corporate,35
INTEL IP CORPORATION,INTEL IP,Corporate, -   
INVISTA North America S.a.r.l.,INVISTA North America Sarl,Corporate,"4,640"
Icahn School of Medicine at Mount Sinai,Icahn School of Medicine at Mount Sinai,Academic,  
Ideal Power Inc.,Ideal Power,Corporate,33
Illinois Institute of Technology,Illinois Institute of Technology,Academic,  
InView Technology Corporation,InView Technology,Corporate,78
Incept LLC,Incept,Corporate,129
Incyte Holdings Corporation,Incyte Holdings,Corporate,27
Infineon Technologies Americas Corp.,Infineon Technologies Americas Corp,Corporate,"16,398"
Infinera Corporation,Infinera,Corporate,"2,647"
Innolux Corporation,Innolux,Corporate,"2,087"
Institut National de la Sante et de la Recherche Medicale (Inserm),Institut National de la Sante et de la Recherche Medicale (Inserm),Academic,  
Institut Pasteur,Institut Pasteur,Academic,  
Institute for Systems Biology,Institute for Systems Biology,Academic,  
Institute of Advanced Study,Institute of Advanced Study,Academic,  
Instron Corporation ,Instron,Corporate,950
Intel Corporation,Intel,Corporate,3
Intellectual Keystone Technology LLC,Intellectual Keystone Technology,Corporate,103
Intercontinental Great Brands LLC,Intercontinental Great Brands,Corporate,"19,196"
International AIDS Vaccine Initiative,International AIDS Vaccine Initiative,Academic,  
International Business Machines Corporation,International Business Machines,Corporate,"577,567"
IntriEnergy Inc.,IntriEnergy,Corporate, -   
Invensas Corporation,Invensas,Corporate,831
Iogen Corporation,Iogen,Corporate,2
JAC Products Inc.,JAC Products,Corporate,626
JFE STEEL CORPORATION,JFE STEEL,Corporate,14
JNC Corporation,JNC,Corporate, -   
JOLED Inc.,JOLED,Corporate,4
JSI Equipment Solutions LLC,JSI Equipment Solutions,Corporate,6
JSR Corporation,JSR,Corporate, -   
JX Nippon Mining & Metals Corporation,JX Nippon Mining & Metals,Corporate,8
John Hopkins University,John Hopkins University,Academic,  
Johns Hopkins Univ. ,Johns Hopkins Univ,Academic,  
KINO LLC,KINO,Corporate,37
KJ BIOSCIENCES LLC,KJ BIOSCIENCES,Corporate, -   
KLA-Tencor Corporation,KLA-Tencor,Corporate,"6,818"
KOREA UNIVERSITY RESEARCH AND BUSINESS FOUNDATION,KOREA UNIVERSITY RESEARCH AND BUSINESS FOUNDATION,Academic,  
KT Corporation,KT,Corporate,"5,994"
KUBIX INC.,KUBIX,Corporate,10
KYOCERA DOCUMENT SOLUTIONS INC.,KYOCERA DOCUMENT SOLUTIONS,Corporate,167
Kajima Corporation,Kajima,Corporate,159
Kaneka Corporation,Kaneka,Corporate,174
Kansas State University Research Foundation,Kansas State University Research Foundation,Academic,  
Kansei Corporation ,Kansei,Corporate,202
Kao Corporation,Kao,Corporate,"51,013"
Karsten Manufacturing Corporation,Karsten Manufacturing,Corporate,715
Katholieke Universiteit Leuven,Katholieke Universiteit Leuven,Academic,  
Kent State University,Kent State University,Academic,  
Kerr Corporation,Kerr,Corporate,417
Kia Motors Corporation ,Kia Motors,Corporate,"2,738"
Kinetech Power Company LLC,Kinetech Power Company,Corporate,2
King Electric Vehicles Inc.,King Electric Vehicles,Corporate,2
Kodak Alaris Inc.,Kodak Alaris,Corporate,"1,675"
Koninklijke Philips N.V.,Koninklijke Philips NV,Government,  
Korea Advanced Institute of Science and Technology,Korea Advanced Institute of Science and Technology,Academic,  
Korea Institute of Science and Technology,Korea Institute of Science and Technology,Academic,  
Korea Research Institute of Bioscience and Biotechnology,Korea Research Institute of Bioscience and Biotechnology,Academic,  
Korea Research Institute of Chemical Technology,Korea Research Institute of Chemical Technology,Academic,  
Kraton Polymers U.S. LLC,Kraton Polymers US,Corporate, -   
Kronos International Inc,Kronos,Corporate,20
Kureha Corporation,Kureha,Corporate,15
Kyungpook National University Industry-Academic Cooperation Foundation,Kyungpook National University Industry-Academic Cooperation Foundation,Academic,  
L-3 Communications Cincinnati Electronics Corporation,L-3 Communications Cincinnati Electronics,Corporate,202
LATITUDE PHARMACEUTICALS INC.,LATITUDE PHARMACEUTICALS,Corporate,21
LG Electronics Inc.,LG Electronics,Corporate,"43,935"
LGS Innovations LLC,LGS Innovations,Corporate,"1,010"
Lam Research Corporation,Lam Research,Corporate,"7,992"
Lattice Semiconductor Corporation,Lattice Semiconductor,Corporate,999
Leigh University,Leigh University,Academic,  
Lextar Electronics Corp.,Lextar Electronics Corp,Corporate,210
Life Technologies Corporation,Life Technologies,Corporate,27
Linne Industries LLC,Linne Industries,Corporate,3
Lintec Corporation,Lintec,Corporate,9
Lockheed Martin Corporation,Lockheed Martin,Corporate,"91,368"
Lof Solar Corporation,Lof Solar,Corporate,4
Loma Linda University,Loma Linda University,Academic,  
Los Angeles Biomedical Research Institute at Harbor-UCLA Medical Center,Los Angeles Biomedical Research Institute at Harbor-UCLA Medical Center,Academic,  
Louisiana Tech Research Corporation,Louisiana Tech Research,Academic,  
Lumentum Operations LLC,Lumentum Operations,Corporate,"1,153"
Luna Innovations Incorporated,Luna Innovations,Corporate,303
MAHLE International GmbH,MAHLE,Corporate,"13,426"
MATERIALS ANALYSIS TECHNOLOGY (US) CORP.,MATERIALS ANALYSIS TECHNOLOGY (US) CORP,Corporate,566
MERCK SHARP & DOHME CORP.,MERCK SHARP & DOHME CORP,Corporate,"2,388"
MILLENIUM SYNTHFUELS CORPORATION,MILLENIUM SYNTHFUELS,Corporate,4
Magna International Inc.,Magna,Corporate,"25,366"
Mainstream Engineering Corp.,Mainstream Engineering Corp,Corporate,88
Marine Biotech Inc.,Marine Biotech,Corporate,11
Markel Corporation,Markel,Corporate,"2,344"
Mary Hitchcock Memorial Hospital,Mary Hitchcock Memorial Hospital,Hospital,  
Massachusetts Eye and Ear Infirmary ,Massachusetts Eye and Ear Infirmary,Hospital,  
Massachusetts Institute of Technology,Massachusetts Institute of Technology,Academic,  
Mayo Foundation for Medical Education and Research,Mayo Foundation for Medical Education and Research,Hospital,  
McMaster University,McMaster University,Academic,  
Medgenics Medical Israel Ltd.,Medgenics Medical Israel,Corporate,"2,001"
Mediatek Inc.,Mediatek,Corporate,"7,198"
Medical Research Council ,Medical Research Council,Government,  
Medicis Pharmaceutical Corporation,Medicis Pharmaceutical,Corporate,490
Merck Patent GmbH,Merck Patent,Corporate, -   
Met Tech Inc.,Met Tech,Corporate,6
Metal Industries Research & Development Centre,Metal Industries Research & Development Centre,Ambiguous,  
Michelin Recherche et Technique S.A.,Michelin Recherche et Technique SA,Corporate,2
Michigan Technological University,Michigan Technological University,Academic,  
Microchip Technology Incorporated,Microchip Technology,Corporate,"6,246"
Microsemi SoC Corporation,Microsemi SoC,Corporate,"3,273"
Mintera Corporation,Mintera,Corporate,608
Mississippi State University Research and Technology Corporation,Mississippi State University Research and Technology,Academic,  
Mitsubishi Electric Corporation,Mitsubishi Electric,Corporate,603
Mitsubishi Metal Corporation,Mitsubishi Metal,Corporate,34
Momentive Performance Materials GmbH,Momentive Performance Materials,Corporate,"3,219"
Momentive Performance Materials Inc.,Momentive Performance Materials,Corporate,"3,219"
Monolithe Semiconductor Inc.,Monolithe Semiconductor,Corporate, -   
Monsanto Technology LLC,Monsanto Technology,Corporate,"21,847"
Musco Corporation,Musco,Corporate,600
NANOBIO CORPORATION,NANOBIO,Corporate,34
NANOPHARMACEUTICALS LLC,NANOPHARMACEUTICALS,Corporate,10
NATIONAL APPLIED RESEARCH LABORATORIES,NATIONAL APPLIED RESEARCH LABORATORIES,Government,  
NATIONAL INSTITUTE FOR MATERIALS SCIENCE,NATIONAL INSTITUTE FOR MATERIALS SCIENCE,Government,  
NATIONAL TSING HUA UNIVERSITY,NATIONAL TSING HUA UNIVERSITY,Academic,  
NDSU Research Foundation,NDSU Research Foundation,Academic,  
NEC Corporation,NEC,Corporate,"8,372"
NEWFIELD THERAPEUTICS CORPORATION,NEWFIELD THERAPEUTICS,Corporate,21
NICHIA CORPORATION,NICHIA,Corporate,63
NOK Corporation,NOK,Corporate,5
NORTHWESTERN UNIVERSITY,NORTHWESTERN UNIVERSITY,Academic,  
NOVA Chemicals (International) S.A.,NOVA Chemicals (International) SA,Corporate,"2,401"
Nagoya Institute of Technology,Nagoya Institute of Technology,Academic,  
Nanao Corporation,Nanao,Corporate, -   
Nano Technics Company Ltd,Nano Technics Company,Corporate,2
NanoGram Corporation,NanoGram,Corporate,2
Nanostatics Corporation,Nanostatics,Corporate,4
National Cheng Kung University,National Cheng Kung University,Academic,  
National Education Corporation,National Education,Corporate,74
National Health Research Institutes,National Health Research Institutes,Government,  
National Institute of Information and Communications Technology (NIICT),National Institute of Information and Communications Technology (NIICT),Government,  
National Institutes of Health,National Institutes of Health,Government,  
National Research Council of Canada,National Research Council of Canada,Government,  
National Security Agency,National Security Agency,Government,  
National Sun Yat-Sen University,National Sun Yat-Sen University,Academic,  
NeoPhotonics Corporation,NeoPhotonics,Corporate,530
NeoVision LLC,NeoVision,Corporate,6
Nestec S. A.,Nestec S A,Corporate,115
New Jersey Institute of Technology,New Jersey Institute of Technology,Academic,  
New York University,New York University,Academic,  
Newdoll Enterprises LLC,Newdoll Enterprises,Corporate,2
Newport Corporation,Newport,Corporate,226
Nikon Corporation,Nikon,Corporate,527
Nippon Chemi-Con Corporation,Nippon Chemi-Con,Corporate,72
Nokia Corporation,Nokia,Corporate,"1,408"
Nordson Corporation,Nordson,Corporate,"2,114"
North Carolina State University,North Carolina State University,Academic,  
Northrop Grumman Systems Corporation,Northrop Grumman Systems,Corporate,"70,994"
Novozymes Inc.,Novozymes,Corporate,"5,130"
Novus Energy LLC,Novus Energy,Corporate,13
Nthdegree Technologies Worldwide Inc.,Nthdegree Technologies Worldwide,Corporate,18
Nvidia Corporation,Nvidia,Corporate,"14,733"
O.B.I. Inc.,OBI,Corporate,"2,552"
OHIO STATE INNOVATION FOUNDATION,OHIO STATE INNOVATION FOUNDATION,Academic,  
OLYMPUS CORPORATION,OLYMPUS,Corporate,10
Oki Data Corporation,Oki Data,Corporate,505
Omron Corporation,Omron,Corporate,"2,099"
One Earth Designs Inc.,One Earth Designs,Corporate,12
Optodot Corporation,Optodot,Corporate, -   
Oracle International Corporation,Oracle,Corporate,4
Oregon Health & Science University,Oregon Health & Science University,Academic,  
Oregon State University,Oregon State University,Academic,  
Ormat Technologies Inc.,Ormat Technologies,Corporate,723
Osram Sylvania Inc.,Osram Sylvania,Corporate,"8,456"
Owens-Brockway Glass Container Inc.,Owens-Brockway Glass Container,Corporate,47
PACCAR Inc,PACCAR,Corporate,"4,063"
PLEX LLC,PLEX,Corporate,101
PQ CORPORATION,PQ,Corporate,979
Pacific Industrial Development Corporation,Pacific Industrial Development,Corporate,8
Palo Alto Research Center Incorporated,Palo Alto Research Center,Corporate,7
Panasonic Intellectual Property Corporation of America,Panasonic Intellectual Property of America,Corporate,"10,742"
Pansonic Corporation,Pansonic,Corporate,"12,675"
Parker-Hannifin Corporation,Parker-Hannifin,Corporate,"19,623"
Pegatron Corporation,Pegatron,Corporate,"4,931"
Peking University,Peking University,Academic,  
Pelican Imaging Corporation,Pelican Imaging,Corporate,4
Pentair Thermal Management LLC,Pentair Thermal Management,Corporate,"1,250"
PeterBrod Corp.,PeterBrod Corp,Corporate, -   
Pfizer Inc.,Pfizer,Corporate,"115,480"
Pharmion Corporation,Pharmion,Corporate,52
Philip Morris USA Inc.,Philip Morris USA,Corporate,405
Pioneer Hi Bred International Inc,Pioneer Hi Bred,Corporate,108
Polaris Products LLC,Polaris Products,Corporate, -   
PolyOne Corporation,PolyOne,Corporate,"4,434"
Polysar Corporation,Polysar,Corporate,9
Polytechnic Institute of New York Unversity,Polytechnic Institute of New York Unversity,Academic,  
President and Fellows of Harvard College,President and Fellows of Harvard College,Academic,  
Proterra Inc.,Proterra,Corporate,362
Purdue Research Foundation,Purdue Research Foundation,Academic,  
Pyrexar Medical Inc.,Pyrexar Medical,Corporate,19
QUALCOMM Incorporated,QUALCOMM,Corporate,"32,345"
Qiagen GmbH,Qiagen,Corporate,"3,774"
Quallion LLC,Quallion,Corporate,61
Qualsig Inc.,Qualsig,Corporate, -   
Quantum Materials Corporation,Quantum Materials,Corporate,8
QuantumScape Corporation,QuantumScape,Corporate,32
Quest Diagnostics Investments Incorporated,Quest Diagnostics Investments,Corporate,"20,133"
R.J. Reynolds Tobacco Company,RJ Reynolds Tobacco Company,Corporate,"2,828"
RINAT NEUROSCIENCE CORP.,RINAT NEUROSCIENCE CORP,Corporate,23
ROM Corporation,ROM,Corporate,"5,116"
Raytheon BBN Technologies Corp.,Raytheon BBN Technologies Corp,Corporate,"47,148"
Regents of the University of Minnesota,Regents of the University of Minnesota,Academic,  
Reliance Controls Corporation,Reliance Controls,Corporate,10
Renesas Electronics Corporation,Renesas Electronics,Corporate,"3,004"
Renewable Opportunities Inc.,Renewable Opportunities,Corporate,570
RenovaCare Sciences Corp.,RenovaCare Sciences Corp,Corporate,3
Rensselaer Polytechnic Institute (RPI),Rensselaer Polytechnic Institute (RPI),Academic,  
Research Development Foundation,Research Development Foundation,Ambiguous,  
Research Foundation of State University of New York,Research Foundation of State University of New York,Academic,  
Research Foundation of the City University of New York,Research Foundation of the City University of New York,Academic,  
Rhode Island Hospital,Rhode Island Hospital,Hospital,  
Richard H. Sherratt and Susan B. Sherratt Revocable Trust Fund,Richard H Sherratt and Susan B Sherratt Revocable Trust Fund,Ambiguous,  
Robert Bosch GmbH,Robert Bosch,Corporate,18
Roche Diagnostics GmbH,Roche Diagnostics,Corporate,740
Rohm and Haas Chemicals LLC,Rohm and Haas Chemicals,Corporate,"1,066"
Rohm and Haas Electronic Materials LLC,Rohm and Haas Electronic Materials,Corporate,215
Roll-N-Lock Corporation,Roll-N-Lock,Corporate,9
Rosemount Aerospace Inc. ,Rosemount Aerospace,Corporate,7
Rush University Medical Center,Rush University Medical Center,Academic,  
SABIC GLOBAL TECHNOLOGIES B.V.,SABIC GLOBAL TECHNOLOGIES BV,Corporate,"26,122"
SAE Magnetics (HK) Ltd.,SAE Magnetics (HK),Corporate,71
SAP SE,SAP SE,Government,  
SEIKO NPC Corporation,SEIKO NPC,Corporate,13
SEaB Energy Holdings Ltd.,SEaB Energy Holdings,Corporate,14
SII Semiconductor Corporation,SII Semiconductor,Corporate,3
SK Hynix Inc.,SK Hynix,Corporate,353
SOLENA FUELS CORPORATION,SOLENA FUELS,Corporate,2
STC.UNM,STCUNM,Academic,  
STMicroelectronics S.A.,STMicroelectronics SA,Corporate,"20,757"
SYNTHOMER USA LLC,SYNTHOMER USA,Corporate,"1,004"
Sagacious Investment Group L.L.C.,Sagacious Investment Group LLC,Corporate,14
Saint-Gobain Performance Plastics Corporation,Saint-Gobain Performance Plastics,Corporate,"1,984"
SanDisk 3D LLC,SanDisk 3D,Corporate,"5,858"
SanDisk Technologies LLC,SanDisk Technologies,Corporate,"5,858"
Sandia Corporation,Sandia,Corporate,"7,961"
Sanford-Burnham Medical Research Institute,Sanford-Burnham Medical Research Institute,Academic,  
Santa Clara University,Santa Clara University,Academic,  
Santoku Corporation,Santoku,Corporate,2
Schlumberger Technology Corporation,Schlumberger Technology,Corporate,33
Seagate Technology LLC,Seagate Technology,Corporate,"15,760"
Seetron Inc.,Seetron,Corporate, -   
Seiko Epson Corporation,Seiko Epson,Corporate,15
Seiko Instruments Inc.,Seiko Instruments,Corporate,5
Selas Heat Technology Company LLC,Selas Heat Technology Company,Corporate,42
Semiconductor Manufacturing International (Shanghai) Corporation,Semiconductor Manufacturing (Shanghai),Corporate,"3,901"
Semics Inc.,Semics,Corporate,13
Semileds Optoelectronics Co.,Semileds Optoelectronics Co,Corporate,7
Sensor-Kinesis Corporation,Sensor-Kinesis,Corporate,11
Shimadzu Corporation,Shimadzu,Corporate,96
Sichuan University,Sichuan University,Academic,  
Siemens Corporation,Siemens,Corporate,"10,217"
Sigma-Aldrich Co. LLC,Sigma-Aldrich Co,Corporate,"4,428"
Silicon Genesis Corporation,Silicon Genesis,Corporate,12
Silicon Space Technology Corp.,Silicon Space Technology Corp,Corporate,3
Silicor Materials Inc.,Silicor Materials,Corporate,54
Simbol Inc.,Simbol,Corporate,3
Sion Power Corporation,Sion Power,Corporate,52
SolAero Technologies Corp.,SolAero Technologies Corp,Corporate,136
Sola U.S.A. Inc.,Sola USA,Corporate,6
SolaBlock LLC,SolaBlock,Corporate,13
National Cheng Kung University,National Cheng Kung University,Academic,  
Solaire Generation LLC,Solaire Generation,Corporate,14
Solar Junction Corporation,Solar Junction,Corporate,48
Solar-Tectic LLC,Solar-Tectic,Corporate, -   
SolarCity Corporation,SolarCity,Corporate,83
SolarLego Inc.,SolarLego,Corporate, -   
SolarWorld Americas Inc.,SolarWorld Americas,Corporate, -   
Solutia Inc.,Solutia,Corporate,56
Sony Corporation,Sony,Corporate,"34,940"
Sony Interactive Entertainment America LLC,Sony Interactive Entertainment America,Corporate,"6,913"
South Dakota Board of Regents,South Dakota Board of Regents,Academic,  
St. Jude Children's Research Hospital,St Jude Children's Research Hospital,Hospital,  
St. Microelectronics Inc.,St Microelectronics,Corporate,"20,762"
Stanford University,Stanford University,Academic,  
Starlight Energy Holdings LLC,Starlight Energy Holdings,Corporate,14
Starsource Scientific LLC,Starsource Scientific,Corporate,2
Stellenbosch University,Stellenbosch University,Academic,  
Stevens Institute of Technology,Stevens Institute of Technology,Academic,  
Stichting Energieonderzoek Centrum Nederland,Stichting Energieonderzoek Centrum Nederland,Ambiguous,  
Sumco Corporation,Sumco,Corporate,35
Sun Chemical Corporation,Sun Chemical,Corporate,"4,256"
Sun Drilling Products Corporation,Sun Drilling Products,Corporate,33
SunCulture Solar Inc.,SunCulture Solar,Corporate,52
SunLink Corporation,SunLink,Corporate,92
SunPower Corporation,SunPower,Corporate,36
Sungevity Inc.,Sungevity,Corporate,267
Sungkyunkwan University Foundation for Corporate Collaboration,Sungkyunkwan University Foundation for Corporate Collaboration,Academic,  
Sunlight Photonics Inc.,Sunlight Photonics,Corporate,6
Sunnybrook Health Sciences Centre,Sunnybrook Health Sciences Centre,Hospital,  
Sunrun South LLC,Sunrun South,Corporate,"2,704"
Supremex Inc.,Supremex,Corporate,240
Surebeam Corporation,Surebeam,Corporate,3
Sutter Bay Hospitals,Sutter Bay Hospitals,Hospital,  
Symantec Corporation,Symantec,Corporate,"24,322"
Syracuse University,Syracuse University,Academic,  
Sysmex Corporation,Sysmex,Corporate,164
TDK Corporation,TDK,Corporate, -   
THE TRUSTEES OF DARTMOUTH COLLEGE,THE TRUSTEES OF DARTMOUTH COLLEGE,Academic,  
THE UNIVERSITY COURT OF THE UNIVERSITY OF GLASGOW,THE UNIVERSITY COURT OF THE UNIVERSITY OF GLASGOW,Academic,  
THYSSENKRUPP INDUSTRIAL SOLUTIONS GMBH,THYSSENKRUPP INDUSTRIAL SOLUTIONS,Corporate,"18,497"
TIME WARNER CABLE ENTERPRISES LLC,TIME WARNER CABLE ENTERPRISES,Corporate,"24,708"
TMC Corporation,TMC,Corporate,"3,742"
TRANE INTERNATIONAL INC.,TRANE,Corporate, -   
TRIDONIC GMBH & CO KG,TRIDONIC & CO KG,Corporate,623
Takara Bio Inc.,Takara Bio,Corporate,78
Tamura Corporation,Tamura,Corporate,32
Tanaka Kikinzoku Kogyo K.K.,Tanaka Kikinzoku Kogyo KK,Corporate,19
Tau Therapeutics LLC,Tau Therapeutics,Corporate,16
Teal Sales Incorporated,Teal Sales,Corporate,8
Texas Instruments Deutschland GmbH,Texas Instruments Deutschland,Corporate,"25,039"
Texas Instruments Incorporated,Texas Instruments,Corporate,"25,027"
Texas State University-San Marcos,Texas State University-San Marcos,Academic,  
Texas Tech University,Texas Tech University,Academic,  
Th United States of America as represented by the Secretary of the Army,Th United States of America as represented by the Secretary of the Army,Government,  
The Arizona Board of Regents,The Arizona Board of Regents,Academic,  
The Arizona Board of Regents of Behalf of the University of Arizona,The Arizona Board of Regents of Behalf of the University of Arizona,Academic,  
The Board of Regents of the University of Nebraska,The Board of Regents of the University of Nebraska,Academic,  
The Board of Regents of the University of Oklahoma,The Board of Regents of the University of Oklahoma,Academic,  
The Board of Supervisors of Louisiana State University and Agricultural and Mechanical College,The Board of Supervisors of Louisiana State University and Agricultural and Mechanical College,Academic,  
The Board of Trustees for the Leland Stanford Junior University,The Board of Trustees for the Leland Stanford Junior University,Academic,  
The Board of Trustees of Southern Illinois University,The Board of Trustees of Southern Illinois University,Academic,  
The Board of Trustees of the Leland Stanford Junior University,The Board of Trustees of the Leland Stanford Junior University,Academic,  
The Board of Trustees of the University of Arkansas,The Board of Trustees of the University of Arkansas,Academic,  
The Board of Trustees of the University of Illinois,The Board of Trustees of the University of Illinois,Academic,  
The Catholic University of Korea,The Catholic University of Korea,Academic,  
The Children's Hospital of Philadelphia,The Children's Hospital of Philadelphia,Hospital,  
The Children's Medical Center Corp.,The Children's Medical Center Corp,Hospital,  
The Cleveland Clinic Foundation,The Cleveland Clinic Foundation,Hospital,  
The Corporation of Mercer University,The of Mercer University,Academic,  
The Curators of the University of Missouri,The Curators of the University of Missouri,Academic,  
The Eastern Co.,The Eastern Co,Corporate,26
The Florida International University Board of Trustees,The Florida University Board of Trustees,Academic,  
The Gates Corporation,The Gates,Corporate,"2,743"
The General Hospital Corporation,The General Hospital,Hospital,  
The George Washington University,The George Washington University,Academic,  
The Government of the United States as represented by the Secretary of the Department of Health and Human Services,The Government of the United States as represented by the Secretary of the Department of Health and Human Services,Government,  
The Governors of the University of Alberta,The Governors of the University of Alberta,Academic,  
The Hong Kong University of Science and Technology,The Hong Kong University of Science and Technology,Academic,  
The J. David Gladstone Institutes,The J David Gladstone Institutes,Academic,  
The Methodist Hospital System,The Methodist Hospital System,Hospital,  
The National Institute of Standards and Technology,The National Institute of Standards and Technology,Government,  
The Ohio State University,The Ohio State University,Academic,  
The Ohio State University Research Foundation,The Ohio State University Research Foundation,Academic,  
The Paymaster Corporation,The Paymaster,Corporate,2
The Penn State Research Foundation,The Penn State Research Foundation,Academic,  
The Regents of the University of California,The Regents of the University of California,Academic,  
The Regents of the University of Colorado,The Regents of the University of Colorado,Academic,  
The Regents of the University of Michigan,The Regents of the University of Michigan,Academic,  
The Research Foundation for the State University of New York,The Research Foundation for the State University of New York,Academic,  
The Rockefeller University,The Rockefeller University,Academic,  
The Royal Institution for the Advancement of Learning/McGill University,The Royal Institution for the Advancement of Learning/McGill University,Academic,  
The Scripps Research Institute,The Scripps Research Institute,Academic,  
The State of Oregon Acting by and through the State Board of Higher Education on Behalf of Oregon State University,The State of Oregon Acting by and through the State Board of Higher Education on Behalf of Oregon State University,Academic,  
The Texas A&M University System,The Texas A&M University System,Academic,  
The Trustees of Boston College,The Trustees of Boston College,Academic,  
The Trustees of Boston University,The Trustees of Boston University,Academic,  
The Trustees of Columbia University in the City of New York,The Trustees of Columbia University in the City of New York,Academic,  
The Trustees of the Stevens Institute of Technology,The Trustees of the Stevens Institute of Technology,Academic,  
The Trustees of the University of Pennsylvania,The Trustees of the University of Pennsylvania,Academic,  
The United States Goverment as represented by the Administrator of the Environmental Protection Agency,The United States Goverment as represented by the Administrator of the Environmental Protection Agency,Government,  
The United States Government as Represented by the Department of Veterans Affairs,The United States Government as Represented by the Department of Veterans Affairs,Government,  
The United States of America as Represented by the Administrator of the National Aeronautics and Space Administration,The United States of America as Represented by the Administrator of the National Aeronautics and Space Administration,Government,  
The United States of America as repesented by the Secretary of Commerce,The United States of America as repesented by the Secretary of Commerce,Government,  
The United States of America as represented by the Secretary of Agriculture,The United States of America as represented by the Secretary of Agriculture,Government,  
The United States of America as represented by the Secretary of the Air Force,The United States of America as represented by the Secretary of the Air Force,Government,  
The United States of America as represented by the Secretary of the Navy,The United States of America as represented by the Secretary of the Navy,Government,  
The Unites States of America as represented by the Department of Energy,The Unites States of America as represented by the Department of Energy,Government,  
The University of Akron,The University of Akron,Academic,  
The University of Chicago,The University of Chicago,Academic,  
The University of Cincinnati,The University of Cincinnati,Academic,  
The University of Connecticut,The University of Connecticut,Academic,  
The University of Houston System,The University of Houston System,Academic,  
The University of Liverpool,The University of Liverpool,Academic,  
The University of Maryland,The University of Maryland,Academic,  
The University of North Carolina at Chapel Hill,The University of North Carolina at Chapel Hill,Academic,  
The University of Pittsburgh,The University of Pittsburgh,Academic,  
The University of Texas at Arlington,The University of Texas at Arlington,Academic,  
The University of Toledo,The University of Toledo,Academic,  
The University of Western Ontario,The University of Western Ontario,Academic,  
Thermo Fisher Scientific Inc.,Thermo Fisher Scientific,Corporate,"38,630"
Thermorefinery Technologies Inc.,Thermorefinery Technologies,Corporate, -   
Thermoretinary Technologies Inc.,Thermoretinary Technologies,Corporate, -   
Thomas Jefferson University,Thomas Jefferson University,Academic,  
Thoratec Corporation,Thoratec,Corporate,466
Thorn Bioscience LLC,Thorn Bioscience,Corporate,3
Ticona LLC,Ticona,Corporate,2
Toda Kogyo Corporation,Toda Kogyo,Corporate,5
Tohoku University,Tohoku University,Academic,  
Toray Industries Inc. ,Toray Industries,Corporate,692
Tosoh Corporation,Tosoh,Corporate, -   
Traex Corporation,Traex,Corporate,22
Transtron Solutions LLC,Transtron Solutions,Corporate,8
Triune IP LLC,Triune IP,Corporate,5
Trustees of Princeton University,Trustees of Princeton University,Academic,  
Trustees of Tufts College,Trustees of Tufts College,Academic,  
Tsinghua University,Tsinghua University,Academic,  
Tufts University,Tufts University,Academic,  
Turf Group LLC,Turf Group,Corporate,8
Turtle Beach Corporation,Turtle Beach,Corporate,175
Tyco Electronics Corporation,Tyco Electronics,Corporate,"24,356"
Tyco Electronics U.K. LTD,Tyco Electronics UK,Corporate,"24,356"
U S MICROPOWER INC,U S MICROPOWER,Corporate, -   
U.S. Army Medical Research and Material Command,US Army Medical Research and Material Command,Government,  
U.S. Smokeless Tobacco Company LLC,US Smokeless Tobacco Company,Corporate,53
UAB Research Foundation,UAB Research Foundation,Academic,  
UCB Pharma S.A.,UCB Pharma SA,Corporate,"10,397"
UNISANTIS ELECTRONICS SINGAPORE PTE. LTD.,UNISANTIS ELECTRONICS SINGAPORE PTE,Corporate, -   
UNIVERITY OF MASSACHUSETTS,UNIVERITY OF MASSACHUSETTS,Academic,  
UNIVERSITY OF NORTH TEXAS,UNIVERSITY OF NORTH TEXAS,Academic,  
UOP LLC,UOP,Corporate,"9,263"
UTC FIRE & SECURITY CORPORATION,UTC FIRE & SECURITY,Corporate,"2,289"
UVIC INDUSTRY PARTNERSHIPS INC.,UVIC INDUSTRY PARTNERSHIPS,Corporate,3
Uni-Charm Corporation,Uni-Charm,Corporate,408
Unifrax I LLC,Unifrax I,Corporate,485
Uniseal Solutions Inc.,Uniseal Solutions,Corporate,112
Unistrut International Corp.,Unistrut Corp,Corporate,34
United Microelectronics Corp.,United Microelectronics Corp,Corporate,792
United Technologies Corporation,United Technologies,Corporate,"8,131"
Unity Semiconductor Corporation,Unity Semiconductor,Corporate,21
Universal Display Corporation,Universal Display,Corporate,11
Universite d'Aix-Marseille II,Universite d'Aix-Marseille II,Academic,  
University Court of the University of St. Andrews,University Court of the University of St Andrews,Academic,  
University of British Columbia,University of British Columbia,Academic,  
University of Calcutta,University of Calcutta,Academic,  
University of Dayton,University of Dayton,Academic,  
University of Dundee,University of Dundee,Academic,  
University of Hull,University of Hull,Academic,  
University of Iowa Research Foundation,University of Iowa Research Foundation,Academic,  
University of Kansas,University of Kansas,Academic,  
University of Kentucky Research Foundation,University of Kentucky Research Foundation,Academic,  
University of Maine System Board of Trustees,University of Maine System Board of Trustees,Academic,  
University of Manitoba,University of Manitoba,Academic,  
University of Massachusetts,University of Massachusetts,Academic,  
